"ID";"Повна назва товару";"Ціна";"К-ть";"Розд. ціна";"Опт. ціна";"Націнка 15";"ID групи";"Штрих-код виробника";"Націнка 5";"Ціна 20";"Додатково"
"1810";"Одеколон  ""Для мужчин"" 80 мл/20";"9,40";"35";"10,50";"10,35";"10,85";"138";"4820010220092";"9,90";"11,30";""
"2071";"Одеколон ""Дипломат"" 80 мл/20";"9,40";"16";"10,50";"10,35";"10,85";"138";"4820010220030";"9,90";"11,30";""
"1931";"Одеколон ""Консул"" 80 мл/20";"9,40";"49";"10,50";"10,35";"10,85";"138";"4820010220412";"9,90";"11,30";""
"1812";"Одеколон ""Саша"" 80 мл/20";"9,40";"37";"10,50";"10,35";"10,85";"138";"4820010220023";"9,90";"11,30";""
"1813";"Одеколон ""Тет-а-тет"" 80 мл/20";"9,40";"45";"10,50";"10,35";"10,85";"138";"4820010220412";"9,90";"11,30";""
"1815";"Одеколон ""Тройний"" 180 мл/15";"13,00";"5";"15,00";"14,30";"14,95";"138";"4820025132564";"13,65";"15,60";""
"1814";"Одеколон ""Тройний"" 80 мл/20";"9,40";"40";"10,50";"10,35";"10,85";"138";"4820010220016";"9,90";"11,30";""
"1818";"Одеколон ""Шипр"" 80 мл/20";"9,40";"40";"10,50";"10,35";"10,85";"138";"4820010220085";"9,90";"11,30";""
"1811";"Одеколон ""червона москва"" 80 мл/20";"9,40";"42";"10,50";"10,35";"10,85";"138";"4827155004280";"9,90";"11,30";""
"28";"Оливка бальзам";"37,80";"19";"41,60";"41,60";"43,50";"7";"4810151011239";"39,70";"45,40";"юмікс"
"27";"Оливка шампунь";"41,80";"14";"46,00";"46,00";"48,10";"6";"4810151011222";"43,90";"50,20";"юмікс"
"2341";"Пастка-липучка для мишей (велика)/100";"8,90";"25";"11,00";"9,80";"10,25";"23";"6970776626183";"9,35";"10,70";""
"247";"Плацента 1 л голуба/12";"64,50";"12";"77,00";"71,00";"74,20";"42";"8008277132013";"67,75";"77,45";""
"248";"Плацента 1 л зелена/12";"64,50";"15";"77,00";"71,00";"74,20";"42";"8008277132006";"67,75";"77,45";""
"35";"Плюсонда бальзам";"47,20";"6";"51,95";"51,95";"54,30";"7";"4810151002060";"49,60";"56,65";""
"2522";"Помазок Spokar (Чехія)/20";"0,90";"11";"30,00";"27,55";"28,80";"175";"8593534830165";"26,30";"30,05";""
"2869";"Протеїни маска";"45,20";"3";"49,75";"49,75";"52,00";"7";"4810153025203";"47,50";"54,25";""
"2868";"Протеїни ш-нь";"45,20";"6";"49,75";"49,75";"52,00";"6";"4810153025180";"47,50";"54,25";"інна"
"32";"Ревівор бальзам";"48,60";"6";"53,50";"53,50";"55,90";"7";"4810151002015";"51,05";"58,35";""
"3040";"Репейний (фіолетовий) бальзам";"39,80";"3";"43,80";"43,80";"45,80";"7";"4810153021304";"41,80";"47,80";""
"4";"Репейний шампунь (фіолетовий)";"45,90";"3";"50,50";"50,50";"52,80";"6";"4810153021274";"48,20";"55,10";"інна"
"1578";"Репейник - суперактив шампунь";"47,90";"3";"52,70";"52,70";"55,10";"6";"4810153016652";"50,30";"57,50";"інна"
"45";"Репейник-суперактив маска";"45,90";"3";"50,50";"50,50";"52,80";"7";"4810153016676";"48,20";"55,10";""
"4365";"Ромашка шампунь";"43,20";"3";"47,55";"47,55";"49,70";"6";"4810151012656";"45,40";"51,85";""
"2580";"СІФ крем 250мл Актив Лимон/16";"19,50";"28";"21,50";"21,45";"22,45";"21";"8717163044735";"20,50";"23,40";""
"2579";"СІФ крем 250мл Актив Фреш/16";"19,50";"27";"21,50";"21,45";"22,45";"21";"8717163044797";"20,50";"23,40";""
"2582";"СІФ крем 500 мл Актив Лимон/16";"31,90";"16";"35,50";"35,10";"36,70";"21";"8717163044698";"33,50";"38,30";""
"2584";"СІФ крем 500 мл Актив Фреш/16";"31,90";"20";"35,50";"35,10";"36,70";"21";"8717163044711";"33,50";"38,30";""
"1663";"СІФ крем 500 мл Ультра Вайт/16";"31,90";"10";"35,50";"35,10";"36,70";"21";"8711600304918";"33,50";"38,30";""
"5795";"СІФ спрей універсальний Антибактеріальний 750мл/6";"37,00";"12";"45,00";"40,75";"42,60";"21";"8720181130625";"38,90";"44,45";""
"3471";"Скребок для посуду/28";"3,00";"230";"4,00";"3,35";"3,50";"153";"4820931880177";"3,20";"3,65";""
"5706";"Станок Fusion 5 (2 кас.)/6";"5,80";"3";"210,00";"177,40";"185,45";"172";"7702018458110";"169,35";"193,50";""
"5707";"Станок Fusion 5 Proglide Power Flex Ball (1 кас.)/6";"7,00";"7";"230,00";"214,10";"223,80";"172";"7702018514892";"204,35";"233,55";""
"823";"Станок Mach3 ст (1кас)";"75,00";"13";"100,00";"82,55";"86,30";"172";"4902430751483";"78,80";"90,00";""
"5635";"Станок Venus Embrace Extra Sensitive (1 кас)/5";"153,70";"2";"180,00";"169,10";"176,80";"172";"7702018364640";"161,40";"184,45";""
"5708";"Станок Venus Embrace Extra Smooth Vera Bradley (2 кас.)/3";"209,00";"1";"230,00";"229,90";"240,35";"172";"047400665354";"219,45";"250,80";""
